,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,tiarei,-17.5333,-149.3333,82.4,69,75,4.61,PF,1612568209
294,ullal,12.8,74.85,73.4,88,3,5.3,IN,1612568209
295,odweyne,9.4092,45.064,60.39,47,6,1.79,SO,1612568209
296,klaksvik,62.2266,-6.589,32.0,100,20,4.61,FO,1612568155
297,yulara,-25.2406,130.9889,73.4,28,9,16.11,AU,1612567992
298,gimli,50.6336,-96.9907,-4.0,65,100,14.97,CA,1612568209
299,chicama,-7.8447,-79.1469,69.8,88,75,8.05,PE,1612568209
300,san patricio,28.017,-97.5169,64.4,59,90,11.5,US,1612568003
301,tautira,-17.7333,-149.15,82.4,69,75,4.61,PF,1612568209
302,baglung,28.2719,83.5898,41.76,61,15,6.96,NP,1612568210
303,pacifica,37.6138,-122.4869,57.0,93,90,13.8,US,1612568210
304,bonfim,3.0833,-59.95,81.27,62,31,8.08,BR,1612568210
305,lorengau,-2.0226,147.2712,84.11,68,75,6.38,PG,1612568210
306,honolulu,21.3069,-157.8583,75.2,46,40,5.75,US,1612568080
307,gasa,31.5,34.4667,59.0,100,1,6.08,PS,1612568210
308,beringovskiy,63.05,179.3167,-5.44,88,100,8.21,RU,1612568210
309,valledupar,10.4631,-73.2532,84.79,51,82,9.4,CO,1612567940
310,yumen,40.2833,97.2,29.66,71,100,17.27,CN,1612568132
311,khani,41.9563,42.9566,48.2,87,90,14.97,GE,1612568211
312,thompson,55.7435,-97.8558,-18.4,63,75,14.97,CA,1612568211
313,olafsvik,64.8945,-23.7142,38.16,78,92,25.57,IS,1612568211
314,kaseda,31.4167,130.3167,48.2,93,75,3.44,JP,1612568211
315,visby,57.6409,18.296,21.2,93,75,3.44,SE,1612568211
316,tuatapere,-46.1333,167.6833,67.28,65,90,5.68,NZ,1612568016
317,guaruja,-23.9931,-46.2564,75.99,26,87,7.78,BR,1612568212
318,saint-georges,12.0564,-61.7485,78.8,78,20,23.02,GD,1612567912
319,cockburn town,21.4612,-71.1419,80.6,69,40,11.5,TC,1612568121
320,haines junction,60.7522,-137.5108,-5.8,59,97,1.63,CA,1612568212
321,aswan,24.0934,32.907,58.14,50,0,10.98,EG,1612568212
322,bow island,49.8668,-111.3684,1.4,85,100,14.97,CA,1612568212
323,talnakh,69.4865,88.3972,-27.47,83,84,4.56,RU,1612568213
324,taoudenni,22.6783,-3.9836,77.2,19,94,10.31,ML,1612568213
325,gighera,43.85,23.8,44.01,93,18,5.75,RO,1612568213
326,bayangol,50.6977,103.4656,-13.74,86,27,2.08,RU,1612568213
327,voskresenskoye,56.8381,45.4317,3.92,94,100,9.28,RU,1612568213
328,flin flon,54.7682,-101.865,-16.6,63,20,13.8,CA,1612567932
329,nevinnomyssk,44.6267,41.9453,26.6,86,0,22.37,RU,1612568213
330,zalantun,48.0,122.7167,-2.79,86,47,4.65,CN,1612568213
331,elizabeth city,36.2946,-76.2511,48.99,93,90,9.22,US,1612568214
332,sabzevar,36.2126,57.6819,47.39,47,65,2.1,IR,1612568214
333,ridgecrest,35.6225,-117.6709,69.8,13,1,3.44,US,1612567954
334,rio muerto,27.4167,-110.2333,78.8,19,1,12.66,MX,1612568214
335,kibala,9.1104,18.3463,77.0,29,0,5.53,TD,1612568214
336,cootamundra,-34.65,148.0333,75.0,53,67,3.0,AU,1612568214
337,sedona,34.8697,-111.761,59.0,25,1,6.91,US,1612568088
338,tagusao,9.1924,117.8141,79.84,81,100,5.46,PH,1612568215
339,tateyama,34.9833,139.8667,45.0,66,77,1.99,JP,1612567929
340,broken hill,-31.95,141.4333,69.8,52,0,18.41,AU,1612568215
341,kabinda,-6.1333,24.4833,68.41,94,100,1.07,CD,1612568215
342,alice springs,-23.7,133.8833,78.01,35,90,12.66,AU,1612568215
343,trosna,52.4446,35.7791,5.67,95,100,8.9,RU,1612568215
344,pisco,-13.7,-76.2167,71.6,83,0,17.27,PE,1612568059
345,saskylakh,71.9167,114.0833,-28.95,84,89,5.75,RU,1612568215
346,shymkent,42.3,69.6,41.0,65,100,6.71,KZ,1612568216
347,cherskiy,68.75,161.3,-16.04,77,1,0.4,RU,1612568216
348,khorixas,-20.3667,14.9667,72.97,48,39,1.97,NA,1612568216
349,krasnaya gora,52.9995,31.6023,15.8,86,75,13.42,RU,1612568216
350,ati,13.2154,18.3353,68.97,23,0,17.07,TD,1612568216
351,altamont,42.2068,-121.7372,48.2,49,1,10.36,US,1612568216
352,hobyo,5.3505,48.5268,75.96,75,41,15.12,SO,1612568176
353,yamada,39.4667,141.95,42.01,79,90,9.37,JP,1612568217
354,shawville,45.6001,-76.4827,28.0,67,100,9.86,CA,1612568217
355,moree,-29.4667,149.85,77.0,61,90,9.22,AU,1612568217
356,truckee,39.328,-120.1833,48.2,29,1,6.91,US,1612567927
357,sao joao da barra,-21.6403,-41.0511,76.28,94,97,7.05,BR,1612568128
358,esso,55.9333,158.7,2.37,87,95,5.5,RU,1612568217
359,laguna,38.421,-121.4238,62.6,39,1,3.44,US,1612568004
360,san policarpo,12.1791,125.5072,81.3,81,69,10.51,PH,1612568218
361,shirokiy,49.758,129.523,-15.45,89,87,5.53,RU,1612568218
362,brigantine,39.4101,-74.3646,46.4,71,1,5.75,US,1612568218
363,iqaluit,63.7506,-68.5145,23.0,86,75,27.63,CA,1612568042
364,prince rupert,54.3161,-130.3201,39.2,75,90,3.44,CA,1612567925
365,khatanga,71.9667,102.5,-33.99,78,10,7.29,RU,1612567988
366,touros,-5.1989,-35.4608,78.8,78,0,5.75,BR,1612568219
367,sibolga,1.7427,98.7792,75.22,80,85,4.23,ID,1612568124
368,ambilobe,-13.2,49.05,73.99,92,82,2.26,MG,1612568048
369,burgos,42.3394,-3.7079,44.6,100,75,9.22,ES,1612568219
370,kalemie,-5.9475,29.1947,71.58,79,98,3.31,CD,1612568219
371,riyadh,24.6877,46.7219,69.8,28,20,6.91,SA,1612568219
372,vanimo,-2.6741,141.3028,82.02,73,92,3.65,PG,1612568219
373,urucurituba,-2.6833,-57.6667,81.25,72,77,0.63,BR,1612568219
374,shuyskoye,59.3736,41.0305,-2.76,91,100,7.85,RU,1612568220
375,saldanha,-33.0117,17.9442,62.6,88,0,6.91,ZA,1612568068
376,lokomotivnyy,53.0118,60.5684,32.18,98,100,17.45,RU,1612568220
377,xining,36.6167,101.7667,19.92,57,95,2.21,CN,1612568027
378,gallup,35.5281,-108.7426,46.4,29,1,18.41,US,1612568220
379,cairns,-16.9167,145.7667,78.8,89,75,6.91,AU,1612568220
380,zlobin,45.2924,14.6541,53.6,87,75,3.44,HR,1612568221
381,zhezkazgan,47.8043,67.7144,20.41,96,36,7.65,KZ,1612568221
382,neuquen,-38.9516,-68.0591,96.8,20,0,8.05,AR,1612568221
383,sakakah,29.9697,40.2064,53.6,82,0,9.22,SA,1612568165
384,tanout,14.9709,8.8879,63.93,26,0,14.88,NE,1612568221
385,sao geraldo do araguaia,-6.4006,-48.555,76.23,91,86,2.44,BR,1612568222
386,osakarovka,50.565,72.5692,27.82,98,98,7.99,KZ,1612568222
387,srednekolymsk,67.45,153.6833,-23.48,84,6,0.54,RU,1612568155
388,mount gambier,-37.8333,140.7667,62.6,72,40,13.8,AU,1612568002
389,talaya,61.3833,152.75,-22.27,83,99,2.35,RU,1612568222
390,loandjili,-4.7561,11.8578,80.6,89,40,2.3,CG,1612568222
391,teguise,29.0605,-13.564,55.4,82,40,2.3,ES,1612568222
392,skovorodino,53.9833,123.9167,-20.78,82,68,3.67,RU,1612568223
393,ahipara,-35.1667,173.1667,71.17,65,100,3.62,NZ,1612568033
394,havre-saint-pierre,50.2334,-63.5986,32.0,86,90,13.8,CA,1612568083
395,synya,65.3718,58.0387,-11.69,90,96,9.13,RU,1612568223
396,mayor pablo lagerenza,-19.9309,-60.7718,77.85,40,61,5.37,PY,1612568223
397,vestmanna,62.1564,-7.1664,32.0,100,20,4.61,FO,1612568223
398,fairbanks,64.8378,-147.7164,-5.8,65,90,4.61,US,1612568137
399,abu kamal,34.4506,40.9171,53.51,85,78,12.62,SY,1612568095
400,walvis bay,-22.9575,14.5053,64.99,94,54,5.75,NA,1612568155
401,kemijarvi,66.7131,27.4306,16.21,96,98,7.29,FI,1612568224
402,savelugu,9.6244,-0.8253,85.89,16,50,6.22,GH,1612568224
403,sorong,-0.8833,131.25,82.89,75,100,4.36,ID,1612568167
404,puerto leguizamo,-0.1934,-74.7819,74.62,96,100,2.48,CO,1612568224
405,urumqi,43.801,87.6005,10.4,85,28,2.24,CN,1612568224
406,aurillac,44.9167,2.45,52.0,76,100,16.11,FR,1612568224
407,norman wells,65.282,-126.8329,-27.4,68,75,2.3,CA,1612568224
408,bilma,18.6853,12.9164,63.12,28,0,8.32,NE,1612568225
409,emden,53.3667,7.2167,34.0,97,100,7.0,DE,1612568225
410,richards bay,-28.783,32.0377,75.43,91,98,2.17,ZA,1612568225
411,south lake tahoe,38.9332,-119.9844,55.4,20,1,5.75,US,1612568001
412,atagay,55.1033,99.3875,4.64,91,96,4.16,RU,1612568226
413,pacific grove,36.6177,-121.9166,59.0,62,1,6.91,US,1612568121
414,udachnyy,66.4167,112.4,-37.62,78,25,2.15,RU,1612568199
415,betioky,-23.7167,44.3833,74.66,89,94,1.23,MG,1612568226
416,asau,46.4333,26.4,34.0,75,100,1.74,RO,1612568226
417,beloha,-25.1667,45.05,75.06,94,95,3.6,MG,1612568226
418,tual,-5.6667,132.75,83.73,77,99,20.29,ID,1612568002
419,nizhniy tsasuchey,50.5167,115.1333,-5.4,86,10,8.75,RU,1612568079
420,longyearbyen,78.2186,15.6401,24.8,86,75,9.22,SJ,1612568153
421,camacha,33.0833,-16.3333,57.2,67,40,17.27,PT,1612568227
422,nemuro,43.3236,145.575,31.84,99,100,12.82,JP,1612568126
423,montegrotto terme,45.3315,11.7912,48.0,83,75,1.59,IT,1612568227
424,yarensk,62.1675,49.0916,-5.17,89,100,9.95,RU,1612568227
425,shingu,33.7333,135.9833,50.0,66,75,2.3,JP,1612568227
426,kyra,49.5776,111.9753,-7.82,83,27,5.5,RU,1612568228
427,durban,-29.8579,31.0292,75.99,88,0,1.14,ZA,1612568113
428,lengshuijiang,27.6881,111.4294,45.73,87,0,0.72,CN,1612568228
429,harsin,34.2721,47.5861,42.8,87,90,4.61,IR,1612568228
430,tahta,26.7693,31.5021,55.4,71,0,9.22,EG,1612568228
431,camana,-16.6228,-72.7111,71.1,76,77,3.96,PE,1612568228
432,boueni,-12.9025,45.0761,80.6,83,0,3.44,YT,1612568229
433,sokoni,-6.4333,39.55,80.62,76,43,7.49,TZ,1612568229
434,yining,29.0361,114.5636,48.56,89,48,0.47,CN,1612568172
435,viedma,-40.8135,-62.9967,73.0,65,0,1.01,AR,1612568177
436,sadao,6.6388,100.4234,77.0,100,75,4.61,TH,1612568229
437,jacmel,18.2342,-72.5347,76.26,80,7,0.65,HT,1612568229
438,marsa matruh,31.3525,27.2453,59.0,77,40,6.91,EG,1612568016
439,guarapari,-20.6667,-40.4975,82.4,74,75,11.5,BR,1612567989
440,auki,-8.7676,160.7034,82.87,76,79,9.78,SB,1612568067
441,rio grande,-32.035,-52.0986,64.0,87,34,15.57,BR,1612568034
442,hauterive,46.0901,3.4459,42.8,100,90,1.14,FR,1612568210
443,balakhta,55.38,91.6,6.42,92,99,2.64,RU,1612568230
444,puerto escondido,15.85,-97.0667,82.4,69,75,9.22,MX,1612568217
445,yangliuqing,39.1375,116.9997,28.4,59,0,2.24,CN,1612568230
446,mildura,-34.2,142.15,68.0,68,75,12.66,AU,1612568230
447,vila franca do campo,37.7167,-25.4333,55.99,94,75,3.44,PT,1612568149
448,adelaide,-34.9333,138.6,64.99,94,40,23.02,AU,1612568231
449,abbeville,50.1,1.8333,44.01,77,100,2.84,FR,1612568231
450,stafford,52.8052,-2.1164,41.0,84,78,4.99,GB,1612568182
451,kouango,4.9934,19.9619,75.51,36,12,3.49,CF,1612568231
452,vestmannaeyjar,63.4427,-20.2734,40.66,69,65,26.51,IS,1612568231
453,roald,62.5833,6.1333,28.4,59,90,10.36,NO,1612568099
454,alyangula,-13.8483,136.4192,80.6,89,90,14.97,AU,1612568231
455,boende,-0.2167,20.8667,73.54,84,100,2.64,CD,1612568232
456,uthal,25.8072,66.6219,54.16,42,0,2.37,PK,1612568232
457,bitung,1.4451,125.1824,77.0,94,20,2.3,ID,1612568232
458,luderitz,-26.6481,15.1594,70.75,51,0,20.22,NA,1612568232
459,vostok,46.4856,135.8833,3.34,94,100,2.84,RU,1612568068
460,kurilsk,45.2333,147.8833,22.69,92,100,7.36,RU,1612568233
461,anadyr,64.75,177.4833,0.0,85,40,17.9,RU,1612568233
462,beaupre,47.0443,-70.8953,28.4,86,100,1.14,CA,1612568233
463,eatonton,33.3268,-83.3885,51.8,37,40,5.75,US,1612568233
464,najran,17.4924,44.1277,64.4,27,0,11.25,SA,1612568052
465,ambunti,-4.2365,142.8448,74.91,96,98,2.08,PG,1612568233
466,canoinhas,-26.1772,-50.39,63.1,55,0,5.19,BR,1612568233
467,manggar,-2.8833,108.2667,80.22,82,75,12.03,ID,1612568233
468,moldova sulita,47.6833,25.25,34.0,86,99,1.99,RO,1612568234
469,west bay,19.3667,-81.4167,79.0,89,75,10.36,KY,1612568234
470,khash,28.2211,61.2158,41.04,49,0,1.48,IR,1612568234
471,santa rosa,14.3122,121.1114,80.01,78,75,1.14,PH,1612568234
472,mayo,38.8876,-76.5119,48.2,53,90,13.8,US,1612568234
473,lake elsinore,33.6681,-117.3273,71.01,29,0,5.01,US,1612568229
474,aksarka,66.5606,67.7975,-20.96,87,100,12.95,RU,1612568235
475,borgarnes,64.5383,-21.9206,35.6,64,0,16.11,IS,1612568235
476,lewistown,40.5992,-77.5714,35.6,60,75,12.66,US,1612568235
477,sivaki,52.6333,126.75,-17.41,86,88,5.08,RU,1612568235
478,humaita,-7.5061,-63.0208,75.67,96,100,1.19,BR,1612568235
479,butgenbach,50.4269,6.205,42.01,100,75,1.14,BE,1612568235
480,hope mills,34.9704,-78.9453,48.2,100,1,4.61,US,1612568236
481,bratsk,56.1325,101.6142,3.2,85,40,6.71,RU,1612568236
482,hami,42.8,93.45,26.33,86,82,2.08,CN,1612568064
483,kirakira,-10.4544,161.9205,84.16,74,53,10.92,SB,1612568236
484,andenes,69.3143,16.1194,32.0,80,100,29.93,NO,1612568236
485,tilichiki,60.4667,166.1,3.16,96,100,9.24,RU,1612568032
486,umm kaddadah,13.6017,26.6876,57.45,36,0,13.29,SD,1612568236
487,moose factory,51.2585,-80.6094,26.6,93,90,11.5,CA,1612568237
488,turaiyur,11.1667,78.6167,71.6,83,20,9.22,IN,1612568237
489,presidente dutra,-5.29,-44.49,75.56,89,80,3.53,BR,1612568237
490,marsh harbour,26.5412,-77.0636,72.05,75,0,10.29,BS,1612568237
491,severodvinsk,64.5635,39.8302,1.4,71,40,8.95,RU,1612568160
492,campo maior,-4.8278,-42.1686,79.41,68,72,8.9,BR,1612568237
493,ponta delgada,37.7333,-25.6667,55.99,94,75,3.44,PT,1612568212
494,komsomolskiy,40.4272,71.7189,41.0,42,100,4.61,UZ,1612568238
495,sharan,54.8167,54.0,34.65,96,100,11.21,RU,1612568238
496,ornskoldsvik,63.2909,18.7153,12.2,92,0,10.36,SE,1612568238
497,grado,43.388,-6.0743,51.01,93,90,6.91,ES,1612568238
498,airai,-8.9266,125.4092,62.92,100,100,3.83,TL,1612568238
499,detva,48.5608,19.4195,33.01,70,100,1.88,SK,1612568238
500,kristiansund,63.1115,7.732,24.8,63,75,3.44,NO,1612568239
501,martin,27.0837,-80.4164,75.2,46,40,6.91,US,1612568239
502,sambava,-14.2667,50.1667,75.79,87,30,5.39,MG,1612568239
503,manaus,-3.1019,-60.025,84.2,74,75,3.44,BR,1612567986
504,phayakkhaphum phisai,15.5163,103.1937,66.99,82,0,9.22,TH,1612568239
505,sechura,-5.5569,-80.8222,79.07,60,13,16.89,PE,1612568239
506,maxixe,-23.8597,35.3472,77.85,88,100,6.73,MZ,1612568240
507,porto de moz,-1.7483,-52.2383,81.46,66,97,5.44,BR,1612568240
508,takoradi,4.8845,-1.7554,79.47,89,2,10.02,GH,1612568240
509,sai buri,6.7013,101.6168,75.34,86,85,11.65,TH,1612568240
510,bonthe,7.5264,-12.505,77.68,79,28,6.51,SL,1612568140
511,maniitsoq,65.4167,-52.9,17.06,73,77,6.26,GL,1612568127
512,faya,18.3851,42.4509,55.4,43,0,16.11,SA,1612568168
513,kavaratti,10.5669,72.642,80.51,75,4,12.82,IN,1612568176
514,garowe,8.4054,48.4845,61.07,93,3,7.34,SO,1612568241
515,ayan,56.45,138.1667,-9.99,82,99,13.09,RU,1612568137
516,passi,11.15,122.65,78.3,86,87,8.21,PH,1612568241
517,dauphin,51.1494,-100.0502,-7.6,64,75,9.22,CA,1612568241
518,yar-sale,66.8333,70.8333,-18.06,88,100,11.01,RU,1612568012
519,mastung,29.7994,66.845,37.44,60,0,0.89,PK,1612568242
520,lambarene,-0.7001,10.2406,77.18,90,100,2.95,GA,1612568242
521,khokhryaki,56.9156,53.3221,33.01,96,100,3.0,RU,1612568242
522,mackay,-21.15,149.2,80.6,83,75,4.61,AU,1612568150
523,cao bang,22.6667,106.25,58.78,87,0,1.19,VN,1612568242
524,baykit,61.67,96.37,-5.6,87,99,2.33,RU,1612568242
525,petatlan,17.5167,-101.2667,84.2,70,40,5.75,MX,1612568242
526,acarau,-2.8856,-40.12,78.01,83,16,12.64,BR,1612568001
527,kayes,14.0,-11.0,76.03,19,83,9.84,ML,1612568175
528,nouadhibou,20.931,-17.0347,64.4,72,40,6.91,MR,1612568243
529,grants pass,42.439,-123.3284,50.0,71,75,1.05,US,1612567979
530,kropotkin,45.4375,40.5756,31.98,90,32,15.26,RU,1612568243
531,port lincoln,-34.7333,135.8667,65.73,73,95,16.46,AU,1612568243
532,borogontsy,62.6683,131.1683,-39.19,80,100,1.86,RU,1612568243
533,dingzhou,38.5131,114.9956,33.8,40,0,2.24,CN,1612568243
534,nome,64.5011,-165.4064,15.8,79,90,28.77,US,1612568141
535,zhangjiakou,40.81,114.8794,24.85,88,3,4.61,CN,1612568244
536,castlebar,53.85,-9.3,42.01,3,23,6.04,IE,1612568244
537,san vicente,-26.6167,-54.1333,62.11,71,0,3.91,AR,1612568244
538,teignmouth,50.5477,-3.4964,37.99,92,0,1.99,GB,1612568244
539,bereda,43.2686,-7.5406,46.0,100,100,10.0,ES,1612568244
540,eureka,40.8021,-124.1637,54.0,82,1,8.99,US,1612568182
541,kapoeta,4.7717,33.5903,78.08,20,50,8.1,SS,1612568083
542,zemio,5.0314,25.1361,75.18,21,5,7.18,CF,1612568245
543,devils lake,48.1128,-98.8651,-0.4,71,1,18.41,US,1612568245
544,murray bridge,-35.1167,139.2667,64.99,84,14,8.99,AU,1612568245
545,tukums,56.9669,23.1553,10.4,85,90,1.14,LV,1612568245
546,timbiqui,2.7717,-77.6654,77.09,91,100,2.39,CO,1612568245
547,maldonado,-34.6667,-54.9167,66.2,77,20,5.75,UY,1612568246
548,uruacu,-14.5247,-49.1408,73.56,91,100,5.37,BR,1612568246
549,hambantota,6.1241,81.1185,76.42,78,98,12.19,LK,1612568194
550,zaporizhzhya,47.8167,35.1833,23.0,80,75,6.71,UA,1612568246
551,zhaotong,27.3167,103.7167,38.89,86,81,0.69,CN,1612568246
552,torit,4.4133,32.5678,75.24,23,43,1.12,SS,1612568246
553,portales,34.1862,-103.3344,57.99,13,1,5.75,US,1612567965
554,botevgrad,42.9,23.7833,35.6,100,77,4.34,BG,1612568247
555,jiuquan,39.7432,98.5174,26.69,74,64,5.82,CN,1612568247
556,venado tuerto,-33.7456,-61.9688,73.99,45,0,5.41,AR,1612568247
557,cape canaveral,28.4058,-80.6048,78.8,73,1,6.91,US,1612568008
558,puerto cabezas,14.0351,-83.3888,82.4,89,40,4.61,NI,1612568247
559,the pas,53.8251,-101.2541,-14.8,64,1,18.41,CA,1612568247
560,pochinki,54.6988,44.8668,1.09,92,100,11.99,RU,1612568247
561,lulea,65.5842,22.1547,17.6,93,40,10.36,SE,1612567995
562,muros,42.7762,-9.0603,51.01,81,100,8.01,ES,1612568248
563,chizhou,30.6578,117.4831,45.91,92,0,4.21,CN,1612568248
564,mount vernon,40.9126,-73.8371,39.99,83,93,7.94,US,1612568132
565,rosignano marittimo,43.4079,10.4729,48.99,93,20,3.44,IT,1612568248
566,port-gentil,-0.7193,8.7815,78.8,100,20,8.95,GA,1612568248
567,arrifes,37.7667,-25.7,55.99,94,75,3.44,PT,1612568248
568,rorvik,64.8621,11.2373,24.76,91,15,6.67,NO,1612568249
569,oussouye,12.485,-16.5469,75.2,78,0,9.22,SN,1612568249
570,goderich,43.7501,-81.7165,21.2,68,100,26.46,CA,1612568249
571,kendari,-3.945,122.4989,80.74,80,31,1.79,ID,1612568043
572,stromness,58.965,-3.296,35.6,69,90,20.71,GB,1612568249
573,jequitinhonha,-16.4339,-41.0033,77.31,73,96,3.29,BR,1612568249
574,chake chake,-5.2459,39.7666,77.09,85,9,4.79,TZ,1612568249
575,taywarah,33.35,64.4167,27.95,64,0,0.92,AF,1612568250
576,aquiraz,-3.9014,-38.3911,80.6,78,40,9.22,BR,1612568250
577,poum,-20.2333,164.0167,79.88,72,5,8.34,NC,1612568250
578,paratebueno,4.3758,-73.2155,84.45,53,92,2.33,CO,1612568250
579,anloga,5.7947,0.8973,84.2,84,20,6.91,GH,1612568096
580,kinlochleven,56.7115,-4.9661,39.99,67,97,4.0,GB,1612568251
581,pulandian,39.3953,121.9669,32.0,69,0,2.24,CN,1612568251
582,newport,51.5877,-2.9984,37.99,88,1,1.01,GB,1612568251
583,rahatgarh,23.7833,78.3667,52.81,64,6,6.33,IN,1612568251
584,la ronge,55.1001,-105.2842,-18.4,63,94,12.66,CA,1612568251
585,bandarbeyla,9.4942,50.8122,73.47,71,17,8.95,SO,1612568054
586,valle de banderas,20.8,-105.2333,75.2,69,1,9.22,MX,1612568251
